FID,GID,NOME,TTOMB,DESCRICAO,FONTE,ANO_REF,THE_GEOM
Bens Tombados.fid-2be50750_153af4824fe_179c,69,Cemitério São João Batista,Municipal,"<br><strong>Endereço: </strong>Rua Padre Mororó, nº 487<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.53880471 -3.720224007)
Bens Tombados.fid-2be50750_153af4824fe_179d,70,Associação Beneficente do Pessoal da Rede de Viação Cearense,Municipal,"<br><strong>Endereço: </strong>Rua Senador Alencar, nº 596<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.5311336 -3.723734305)
Bens Tombados.fid-2be50750_153af4824fe_179e,71,Associação Comercial,Municipal,"<br><strong>Endereço: </strong>Rua Major Facundo, nº 02<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.52641157 -3.723067844)
Bens Tombados.fid-2be50750_153af4824fe_179f,72,Procuradoria da União no Estado do Ceará,Municipal,"<br><strong>Endereço: </strong>Rua Guilherme Rocha, nº 1342<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.53795579 -3.723829322)
Bens Tombados.fid-2be50750_153af4824fe_17a0,73,Bangalô Amarelo,Municipal,"<br><strong>Endereço: </strong>Rua Guilherme Rocha, nº 1451<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.53925532 -3.723240482)
Bens Tombados.fid-2be50750_153af4824fe_17a1,74,Vila Filomeno,Municipal,"<br><strong>Endereço: </strong>Av. Francisco Sá, n º1743, 1743A, 1743B / nº 1771, 1771A, 1771B<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.54202873 -3.722691789)
Bens Tombados.fid-2be50750_153af4824fe_17a2,75,Casa do Acrísio,Municipal,"<br><strong>Endereço: </strong>Rua São Paulo, nº 1889<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.54224867 -3.721401691)
Bens Tombados.fid-2be50750_153af4824fe_17a3,76,Associação Beneficente dos Motoristas do Estado do Ceará,Municipal,"<br><strong>Endereço: </strong>Rua Major Facundo, nº 1263<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.52983272 -3.734075081)
Bens Tombados.fid-2be50750_153af4824fe_17a4,77,Prédio na Avenida Francisco Sá,Municipal,"<br><strong>Endereço: </strong>Avenida Francisco Sá, nº 2235<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.54550487 -3.721401691)
Bens Tombados.fid-2be50750_153af4824fe_17a5,78,Prédio na Rua Major Facundo,Municipal,"<br><strong>Endereço: </strong>Rua Major Facundo, nº 1154<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.52968789 -3.733055328)
Bens Tombados.fid-2be50750_153af4824fe_17a6,79,Associação dos Merceeiros,Municipal,"<br><strong>Endereço: </strong>Rua General Clarindo de Queiroz, nº 583<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.53103301 -3.732364786)
Bens Tombados.fid-2be50750_153af4824fe_17a7,80,"Casa na Rua Clarindo de Queiroz, nº 615",Municipal,"<br><strong>Endereço: </strong>Rua Clarindo de Queiroz, nº 615<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.52969191 -3.732960311)
Bens Tombados.fid-2be50750_153af4824fe_17a8,81,"Casa na Rua da Assunção, nº 398",Municipal,"<br><strong>Endereço: </strong>Rua da Assunção, nº 398<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.52846212 -3.733510336)
Bens Tombados.fid-2be50750_153af4824fe_17a9,82,"Casa na Rua da Assunção, nº 390",Municipal,"<br><strong>Endereço: </strong>Rua da Assunção, nº 390<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.52845139 -3.733403275)
Bens Tombados.fid-2be50750_153af4824fe_17aa,83,"Prédio na Rua Santo Inácio, nº 596",Municipal,"<br><strong>Endereço: </strong>Rua Santo Inácio, nº 596<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.54071713 -3.717863281)
Bens Tombados.fid-2be50750_153af4824fe_17ab,84,"Casa na Rua 25 de março, nº 747",Municipal,"<br><strong>Endereço: </strong>Rua 25 de março, nº 747<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.52274365 -3.730587575)
Bens Tombados.fid-2be50750_153af4824fe_17ac,85,"Imóvel na Av. Imperador, nº 1313",Municipal,"<br><strong>Endereço: </strong>Imóvel na Av. Imperador, nº 1313<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.53596157 -3.732712733)
Bens Tombados.fid-2be50750_153af4824fe_17ad,86,"Imóvel na Av. Santos Dumont, nº 1112",Municipal,"<br><strong>Endereço: </strong>Avenida Santos Dumont, nº 1112<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.5144288 -3.731112174)
Bens Tombados.fid-2be50750_153af4824fe_17ae,87,"Imóvel na Av. Santos Dumont, nº 938",Municipal,"<br><strong>Endereço: </strong>Avenida Santos Dumont, nº 938<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.51520127 -3.730855227)
Bens Tombados.fid-2be50750_153af4824fe_17af,88,"Imóvel na Rua 25 de março, nº 964",Municipal,"<br><strong>Endereço: </strong>Rua 25 de março, nº 964<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.52359122 -3.73235408)
Bens Tombados.fid-2be50750_153af4824fe_17b0,89,"Imóvel na Av. Santos Dumont, nº 1028",Municipal,"<br><strong>Endereço: </strong>Avenida Santos Dumont, nº 1028<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.51421422 -3.731165704)
Bens Tombados.fid-2be50750_153af4824fe_17b1,90,Colégio Externato São Vicente de Paulo,Municipal,"<br><strong>Endereço: </strong>Rua 25 de março, nº 407<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.52184242 -3.727595214)
Bens Tombados.fid-2be50750_153af4824fe_17b2,91,Igreja Nossa Senhora do Patrocínio,Municipal,"<br><strong>Endereço: </strong>Rua Guilherme Rocha, nº 536<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.53646583 -3.724121065)
Bens Tombados.fid-2be50750_153af4824fe_17b3,92,Igreja de Santa Edwiges,Municipal,"<br><strong>Endereço: </strong>Avenida Presidente Castelo Branco, nº 600<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.53246397 -3.718864315)
Bens Tombados.fid-2be50750_153af4824fe_17b4,93,Seminário Salvatoriano,Municipal,"<br><strong>Endereço: </strong>Rua Germano Frank, 613<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.56144256 -3.776911652)
Bens Tombados.fid-2be50750_153af4824fe_17b5,94,Hotel Excelsior,Municipal,"<br><strong>Endereço: </strong>Rua Guilherme Rocha, n° 172<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.52647996 -3.72753633)
Bens Tombados.fid-2be50750_153af4824fe_17b6,95,Condomínio Residencial Iracema,Municipal,"<br><strong>Endereço: </strong>Rua Antônio Augusto, números 149, 185, 205 e 235<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.51063683 -3.722527181)
Bens Tombados.fid-2be50750_153af4824fe_17b7,96,Edifício Dona Bela,Municipal,"<br><strong>Endereço: </strong>Rua Coronel Ferraz, números 30, 62, 76<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.52333373 -3.727900339)
Bens Tombados.fid-2be50750_153af4824fe_17b8,97,Igreja do Cristo Rei,Municipal,"<br><strong>Endereço: </strong>Rua Nogueira Acioli, nº 805<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.51703591 -3.730812403)
Bens Tombados.fid-2be50750_153af4824fe_17b9,98,Imóvel residencial no Montese,Municipal,"<br><strong>Endereço: </strong>Rua Euzébio de Queiroz, 1591<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.55477995 -3.768786113)
Bens Tombados.fid-2be50750_153af4824fe_17ba,99,"Imóvel na Av. Santos Dumont, nº 1020",Municipal,"<br><strong>Endereço: </strong>Avenida Santos Dumont, nº 1020<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.51453407 -3.73099976)
Bens Tombados.fid-2be50750_153af4824fe_17bb,100,Sociedade União Cearense,Estadual,"<br><strong>Endereço: </strong>Rua João Moreira, nº 143<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.52646119 -3.723056469)
